step,train_loss,refusal_rate,refusal_rate_smoothed,baseline_refusal_rate,alpaca_val_loss,mean_alignment,lambda_layer_model.layers.0.self_attn.q_proj,lambda_layer_model.layers.0.self_attn.v_proj,lambda_layer_model.layers.1.self_attn.q_proj,lambda_layer_model.layers.1.self_attn.v_proj,lambda_layer_model.layers.2.self_attn.q_proj,lambda_layer_model.layers.2.self_attn.v_proj,lambda_layer_model.layers.3.self_attn.q_proj,lambda_layer_model.layers.3.self_attn.v_proj,lambda_layer_model.layers.4.self_attn.q_proj,lambda_layer_model.layers.4.self_attn.v_proj,lambda_layer_model.layers.5.self_attn.q_proj,lambda_layer_model.layers.5.self_attn.v_proj,lambda_layer_model.layers.6.self_attn.q_proj,lambda_layer_model.layers.6.self_attn.v_proj,lambda_layer_model.layers.7.self_attn.q_proj,lambda_layer_model.layers.7.self_attn.v_proj,lambda_layer_model.layers.8.self_attn.q_proj,lambda_layer_model.layers.8.self_attn.v_proj,lambda_layer_model.layers.9.self_attn.q_proj,lambda_layer_model.layers.9.self_attn.v_proj,lambda_layer_model.layers.10.self_attn.q_proj,lambda_layer_model.layers.10.self_attn.v_proj,lambda_layer_model.layers.11.self_attn.q_proj,lambda_layer_model.layers.11.self_attn.v_proj,lambda_layer_model.layers.12.self_attn.q_proj,lambda_layer_model.layers.12.self_attn.v_proj,lambda_layer_model.layers.13.self_attn.q_proj,lambda_layer_model.layers.13.self_attn.v_proj,lambda_layer_model.layers.14.self_attn.q_proj,lambda_layer_model.layers.14.self_attn.v_proj,lambda_layer_model.layers.15.self_attn.q_proj,lambda_layer_model.layers.15.self_attn.v_proj,lambda_layer_model.layers.16.self_attn.q_proj,lambda_layer_model.layers.16.self_attn.v_proj,lambda_layer_model.layers.17.self_attn.q_proj,lambda_layer_model.layers.17.self_attn.v_proj,lambda_layer_model.layers.18.self_attn.q_proj,lambda_layer_model.layers.18.self_attn.v_proj,lambda_layer_model.layers.19.self_attn.q_proj,lambda_layer_model.layers.19.self_attn.v_proj,lambda_layer_model.layers.20.self_attn.q_proj,lambda_layer_model.layers.20.self_attn.v_proj,lambda_layer_model.layers.21.self_attn.q_proj,lambda_layer_model.layers.21.self_attn.v_proj,lambda_layer_model.layers.22.self_attn.q_proj,lambda_layer_model.layers.22.self_attn.v_proj,lambda_layer_model.layers.23.self_attn.q_proj,lambda_layer_model.layers.23.self_attn.v_proj,lambda_layer_model.layers.24.self_attn.q_proj,lambda_layer_model.layers.24.self_attn.v_proj,lambda_layer_model.layers.25.self_attn.q_proj,lambda_layer_model.layers.25.self_attn.v_proj,lambda_layer_model.layers.26.self_attn.q_proj,lambda_layer_model.layers.26.self_attn.v_proj,lambda_layer_model.layers.27.self_attn.q_proj,lambda_layer_model.layers.27.self_attn.v_proj
100,5.163701999359182,0.94,0.97,1.0,1.357761209055717,0.02792417547815213,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7,0.5,0.5,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
200,4.61506775604561,0.89,0.9433333333333334,1.0,1.344030025463559,0.02611720222713692,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6859999999999999,0.49,0.7,0.0,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.49,0.0,0.0,0.0,0.0,0.49,0.5,0.7,0.0,0.0,0.0,0.0,0.5,0.7,0.0,0.49,0.0,0.0,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
300,5.17657030031085,0.9,0.91,1.0,1.3412953300025106,0.024253453086462935,0.0,0.0,0.0,0.49,0.3,0.6,0.0,0.0,0.0,0.0,0.0,0.6722799999999999,0.48019999999999996,0.8,0.0,0.6859999999999999,0.0,0.0,0.0,0.0,0.6,0.0,0.3,0.0,0.0,0.0,0.3,0.0,0.48019999999999996,0.0,0.0,0.0,0.3,0.48019999999999996,0.49,0.6859999999999999,0.0,0.3,0.0,0.0,0.49,0.8,0.0,0.48019999999999996,0.0,0.7,0.6859999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
400,4.8254601741582155,0.82,0.87,1.0,1.337478009119551,0.019617348757622364,0.0,0.0,0.0,0.48019999999999996,0.294,0.8,0.0,0.0,0.0,0.0,0.0,0.6588343999999998,0.47059599999999996,0.85,0.0,0.75,0.0,0.3,0.0,0.0,0.588,0.0,0.294,0.3,0.0,0.0,0.294,0.3,0.47059599999999996,0.0,0.0,0.0,0.294,0.47059599999999996,0.48019999999999996,0.7,0.0,0.294,0.0,0.0,0.48019999999999996,0.8,0.0,0.47059599999999996,0.0,0.75,0.6722799999999999,0.0,0.0,0.0,0.0,0.0,0.3,0.0,0.0,0.0
500,4.815080095701851,0.87,0.8633333333333333,1.0,1.3385912278896905,0.016229946843980412,0.0,0.0,0.0,0.47059599999999996,0.28812,0.784,0.0,0.0,0.3,0.3,0.0,0.6456577119999998,0.46118407999999994,0.9,0.0,0.735,0.0,0.294,0.0,0.0,0.57624,0.3,0.3,0.294,0.0,0.3,0.28812,0.7,0.46118407999999994,0.0,0.0,0.0,0.28812,0.46118407999999994,0.47059599999999996,0.6859999999999999,0.0,0.7,0.0,0.0,0.47059599999999996,0.784,0.0,0.7,0.0,0.8,0.6588343999999998,0.0,0.0,0.0,0.0,0.0,0.294,0.0,0.0,0.0
600,4.969004281493835,0.86,0.85,1.0,1.334611289591613,0.013838472431026665,0.0,0.0,0.0,0.46118407999999994,0.2823576,0.76832,0.0,0.0,0.294,0.7,0.0,0.6327445577599997,0.4519603983999999,0.882,0.0,0.8,0.0,0.28812,0.0,0.0,0.5647152,0.294,0.294,0.28812,0.0,0.294,0.2823576,0.6859999999999999,0.4519603983999999,0.6,0.0,0.0,0.2823576,0.4519603983999999,0.8,0.6722799999999999,0.0,0.6859999999999999,0.0,0.7,0.46118407999999994,0.76832,0.0,0.6859999999999999,0.0,0.784,0.6456577119999998,0.7,0.7,0.7,0.0,0.0,0.7,0.0,0.0,0.7
700,5.058025842420757,0.91,0.88,1.0,1.339971601478499,0.01307900047478532,0.0,0.0,0.0,0.4519603983999999,0.7,0.7529536,0.0,0.0,0.28812,0.8,0.0,0.6200896666047997,0.4429211904319999,0.86436,0.7,0.8,0.0,0.2823576,0.0,0.0,0.553420896,0.28812,0.28812,0.2823576,0.0,0.28812,0.276710448,0.6722799999999999,0.4429211904319999,0.8,0.7,0.0,0.7,0.4429211904319999,0.784,0.6588343999999998,0.0,0.6722799999999999,0.0,0.6859999999999999,0.4519603983999999,0.7529536,0.0,0.6722799999999999,0.0,0.8,0.6327445577599997,0.6859999999999999,0.6859999999999999,0.6859999999999999,0.0,0.0,0.6859999999999999,0.7,0.0,0.8
800,4.676938656223938,0.83,0.8666666666666667,1.0,1.3338669254066735,0.009910984072900777,0.0,0.0,0.6,0.4429211904319999,0.6859999999999999,0.737894528,0.0,0.0,0.4,0.784,0.7,0.6076878732727037,0.4340627666233599,0.8470728,0.8,0.784,0.4,0.276710448,0.4,0.7,0.54235247808,0.2823576,0.2823576,0.276710448,0.0,0.2823576,0.27117623904,0.6588343999999998,0.4340627666233599,0.784,0.8,0.0,0.6859999999999999,0.4340627666233599,0.76832,0.6456577119999998,0.7,0.6588343999999998,0.0,0.6722799999999999,0.4429211904319999,0.737894528,0.0,0.6588343999999998,0.7,0.784,0.6200896666047997,0.6722799999999999,0.6722799999999999,0.6722799999999999,0.0,0.0,0.6722799999999999,0.6859999999999999,0.0,0.784
900,4.8709997094806745,0.84,0.86,1.0,1.333301956647109,0.008105528711374583,0.0,0.0,0.588,0.4340627666233599,0.7,0.72313663744,0.0,0.0,0.7,0.76832,0.6859999999999999,0.5955341158072496,0.4253815112908927,0.830131344,0.784,0.7,0.392,0.27117623904,0.8,0.6859999999999999,0.5315054285184,0.276710448,0.276710448,0.27117623904,0.0,0.276710448,0.7,0.6456577119999998,0.4253815112908927,0.85,0.7,0.0,0.6722799999999999,0.4253815112908927,0.7529536,0.6327445577599997,0.8,0.6456577119999998,0.0,0.8,0.7,0.72313663744,0.0,0.6456577119999998,0.6859999999999999,0.76832,0.6076878732727037,0.6588343999999998,0.6588343999999998,0.6588343999999998,0.0,0.0,0.6588343999999998,0.6722799999999999,0.0,0.76832
1000,4.658967415613588,0.87,0.8466666666666667,1.0,1.3312285018627272,0.00789956292802734,0.0,0.0,0.57624,0.4253815112908927,0.6859999999999999,0.7086739046912,0.7,0.0,0.6859999999999999,0.8,0.6722799999999999,0.5836234334911046,0.41687388106507484,0.81352871712,0.8,0.8,0.38416,0.2657527142592,0.8,0.6722799999999999,0.7,0.27117623904,0.27117623904,0.2657527142592,0.0,0.27117623904,0.6859999999999999,0.8,0.7,0.833,0.7,0.0,0.6588343999999998,0.41687388106507484,0.737894528,0.6200896666047997,0.784,0.6327445577599997,0.0,0.784,0.6859999999999999,0.7086739046912,0.0,0.7,0.6722799999999999,0.7529536,0.5955341158072496,0.6456577119999998,0.6456577119999998,0.6456577119999998,0.0,0.0,0.6456577119999998,0.6588343999999998,0.0,0.7529536
