step,train_loss,refusal_rate,refusal_rate_smoothed,alpaca_val_loss,mean_alignment,lambda_layer_0,lambda_layer_1,lambda_layer_2,lambda_layer_3,lambda_layer_4,lambda_layer_5,lambda_layer_6,lambda_layer_7,lambda_layer_8,lambda_layer_9,lambda_layer_10,lambda_layer_11,lambda_layer_12,lambda_layer_13,lambda_layer_14,lambda_layer_15,lambda_layer_16,lambda_layer_17,lambda_layer_18,lambda_layer_19,lambda_layer_20,lambda_layer_21,lambda_layer_22,lambda_layer_23,lambda_layer_24,lambda_layer_25,lambda_layer_26,lambda_layer_27
100,5.0374861883209086,0.63,0.815,1.3785629101345578,0.033371732237615755,0.0,0.0,0.7,0.6,0.0,0.6,0.0,0.0,0.0,0.6,0.0,0.0,0.7,0.8,0.8,0.0,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
200,5.021471505621448,0.63,0.7533333333333333,1.369018207083078,0.02447700285951474,0.0,0.0,0.8,0.588,0.0,0.6,0.3,0.4,0.0,0.588,0.0,0.0,0.8,0.85,0.784,0.0,0.8,0.0,0.3,0.0,0.0,0.0,0.3,0.3,0.0,0.0,0.0,0.0
300,4.8282288018520925,0.57,0.61,1.3664603712298165,0.015990561381581107,0.0,0.0,0.784,0.8,0.0,0.588,0.294,0.8,0.0,0.57624,0.8,0.0,0.784,0.833,0.85,0.8,0.784,0.0,0.294,0.8,0.0,0.8,0.294,0.8,0.0,0.8,0.0,0.0
400,4.8141707596927885,0.51,0.57,1.3651016793709194,0.009202486552697207,0.0,0.0,0.76832,0.784,0.0,0.57624,0.28812,0.8,0.0,0.5647152,0.784,0.8,0.8,0.81634,0.833,0.784,0.76832,0.7,0.28812,0.85,0.7,0.784,0.28812,0.85,0.7,0.784,0.0,0.0
500,4.966054015234112,0.71,0.5966666666666667,1.3629819826539302,0.008236555099886442,0.0,0.0,0.8,0.8,0.0,0.5647152,0.4,0.784,0.7,0.553420896,0.8,0.784,0.784,0.8000132,0.81634,0.76832,0.7529536,0.8,0.2823576,0.85,0.6859999999999999,0.76832,0.2823576,0.85,0.8,0.76832,0.6,0.0
600,4.947813964909874,0.65,0.6233333333333334,1.3653437294947535,0.005732849531341344,0.0,0.0,0.784,0.784,0.0,0.553420896,0.392,0.76832,0.6859999999999999,0.54235247808,0.784,0.76832,0.76832,0.784012936,0.9,0.7529536,0.737894528,0.784,0.276710448,0.9,0.6722799999999999,0.85,0.276710448,0.9,0.85,0.7529536,0.8,0.0
700,5.229590354841203,0.68,0.68,1.3653897566945603,0.008380518943470503,0.0,0.0,0.76832,0.9,0.0,0.54235247808,0.38416,0.8,0.6722799999999999,0.5315054285184,0.76832,0.8,0.7529536,0.85,0.9,0.737894528,0.72313663744,0.76832,0.27117623904,0.9,0.6588343999999998,0.833,0.27117623904,0.9,0.833,0.8,0.85,0.0
800,4.738333061877638,0.65,0.66,1.3593696676490925,0.005503604471284364,0.7,0.7,0.7529536,0.9,0.0,0.5315054285184,0.3764768,0.784,0.8,0.5208753199480319,0.7529536,0.85,0.737894528,0.833,0.9,0.72313663744,0.7086739046912,0.7529536,0.2657527142592,0.9,0.8,0.81634,0.2657527142592,0.9,0.81634,0.85,0.833,0.0
900,4.840779888415709,0.57,0.6333333333333333,1.3594308622783684,0.0045374953271155915,0.8,0.6859999999999999,0.8,0.9,0.0,0.75,0.368947264,0.76832,0.784,0.8,0.85,0.833,0.72313663744,0.81634,0.9,0.7086739046912,0.694500426597376,0.737894528,0.26043765997401597,0.9,0.85,0.8000132,0.26043765997401597,0.9,0.8000132,0.833,0.81634,0.0
1000,4.763214723877609,0.58,0.6,1.3580241469302716,0.006078435282688588,0.8,0.6722799999999999,0.784,0.9,0.7,0.735,0.36156831872,0.7529536,0.76832,0.784,0.833,0.81634,0.7086739046912,0.8,0.9,0.694500426597376,0.6806104180654284,0.8,0.25522890677453564,0.9,0.833,0.784012936,0.7,0.882,0.784012936,0.81634,0.8000132,0.7
1100,4.883373087197542,0.58,0.5766666666666667,1.360858003604454,0.00512955229662891,0.784,0.6588343999999998,0.76832,0.9,0.8,0.8,0.3543369523456,0.737894528,0.7529536,0.76832,0.81634,0.8000132,0.8,0.784,0.9,0.6806104180654284,0.8,0.8,0.25012432863904493,0.9,0.81634,0.76833267728,0.6859999999999999,0.9,0.76833267728,0.8000132,0.784012936,0.8
1200,4.767895203251392,0.64,0.6,1.3617323327540785,0.004109156717147146,0.76832,0.6456577119999998,0.7529536,0.9,0.8,0.8,0.347250213298688,0.72313663744,0.737894528,0.9,0.8000132,0.784012936,0.8,0.76832,0.882,0.6669982097041198,0.784,0.784,0.24512184206626403,0.882,0.8,0.8,0.85,0.882,0.7529660237344,0.784012936,0.76833267728,0.85
1300,4.7153226415021345,0.68,0.6333333333333333,1.358027209118897,0.005001846983629678,0.7529536,0.6327445577599997,0.9,0.9,0.784,0.784,0.3403052090327142,0.7086739046912,0.72313663744,0.882,0.784012936,0.76833267728,0.9,0.7529536,0.86436,0.8,0.76832,0.85,0.24021940522493873,0.86436,0.85,0.784,0.85,0.9,0.85,0.76833267728,0.9,0.833
1400,4.647229263863992,0.63,0.65,1.3573916967598545,0.0036619569956591086,0.737894528,0.6200896666047997,0.9,0.882,0.76832,0.76832,0.3334991048520599,0.694500426597376,0.7086739046912,0.86436,0.76833267728,0.7529660237344,0.882,0.737894528,0.9,0.784,0.7529536,0.9,0.23541501712043994,0.9,0.9,0.76832,0.9,0.9,0.833,0.85,0.9,0.81634
1500,4.628591757353861,0.61,0.64,1.3598398835655043,0.0041795850764693955,0.72313663744,0.6076878732727037,0.882,0.86436,0.8,0.8,0.3268291227550187,0.6806104180654284,0.694500426597376,0.9,0.7529660237344,0.737906703259712,0.9,0.72313663744,0.9,0.76832,0.9,0.882,0.7,0.882,0.9,0.8,0.882,0.882,0.81634,0.833,0.882,0.9
1600,4.416472521282267,0.59,0.61,1.3605957758676406,0.004752418383889433,0.7086739046912,0.5955341158072496,0.86436,0.8470728,0.784,0.784,0.3202925402999183,0.6669982097041198,0.6806104180654284,0.9,0.737906703259712,0.7231485691945178,0.9,0.8,0.9,0.8,0.882,0.9,0.6859999999999999,0.86436,0.882,0.784,0.9,0.86436,0.8000132,0.81634,0.86436,0.9
1700,4.3571944648446514,0.65,0.6166666666666667,1.3580412893787044,0.0034129572741221637,0.694500426597376,0.5836234334911046,0.9,0.830131344,0.76832,0.76832,0.31388668949391996,0.6536582455100374,0.6669982097041198,0.882,0.7231485691945178,0.7086855978106273,0.882,0.784,0.882,0.85,0.86436,0.9,0.85,0.9,0.86436,0.76832,0.882,0.8470728,0.784012936,0.9,0.8470728,0.9
1800,4.376475391283166,0.65,0.63,1.3588020164483865,0.00297943500169952,0.6806104180654284,0.5719509648212825,0.9,0.81352871712,0.8,0.7529536,0.30760895570404156,0.6405850805998367,0.6536582455100374,0.9,0.7086855978106273,0.6945118858544148,0.9,0.76832,0.9,0.833,0.8470728,0.9,0.833,0.9,0.8470728,0.7529536,0.86436,0.830131344,0.76833267728,0.9,0.9,0.882
