step,train_loss,refusal_rate,refusal_rate_smoothed,baseline_refusal_rate,alpaca_val_loss,mean_alignment,lambda_layer_model.layers.0.self_attn.q_proj,lambda_layer_model.layers.0.self_attn.v_proj,lambda_layer_model.layers.1.self_attn.q_proj,lambda_layer_model.layers.1.self_attn.v_proj,lambda_layer_model.layers.2.self_attn.q_proj,lambda_layer_model.layers.2.self_attn.v_proj,lambda_layer_model.layers.3.self_attn.q_proj,lambda_layer_model.layers.3.self_attn.v_proj,lambda_layer_model.layers.4.self_attn.q_proj,lambda_layer_model.layers.4.self_attn.v_proj,lambda_layer_model.layers.5.self_attn.q_proj,lambda_layer_model.layers.5.self_attn.v_proj,lambda_layer_model.layers.6.self_attn.q_proj,lambda_layer_model.layers.6.self_attn.v_proj,lambda_layer_model.layers.7.self_attn.q_proj,lambda_layer_model.layers.7.self_attn.v_proj,lambda_layer_model.layers.8.self_attn.q_proj,lambda_layer_model.layers.8.self_attn.v_proj,lambda_layer_model.layers.9.self_attn.q_proj,lambda_layer_model.layers.9.self_attn.v_proj,lambda_layer_model.layers.10.self_attn.q_proj,lambda_layer_model.layers.10.self_attn.v_proj,lambda_layer_model.layers.11.self_attn.q_proj,lambda_layer_model.layers.11.self_attn.v_proj,lambda_layer_model.layers.12.self_attn.q_proj,lambda_layer_model.layers.12.self_attn.v_proj,lambda_layer_model.layers.13.self_attn.q_proj,lambda_layer_model.layers.13.self_attn.v_proj,lambda_layer_model.layers.14.self_attn.q_proj,lambda_layer_model.layers.14.self_attn.v_proj,lambda_layer_model.layers.15.self_attn.q_proj,lambda_layer_model.layers.15.self_attn.v_proj,lambda_layer_model.layers.16.self_attn.q_proj,lambda_layer_model.layers.16.self_attn.v_proj,lambda_layer_model.layers.17.self_attn.q_proj,lambda_layer_model.layers.17.self_attn.v_proj,lambda_layer_model.layers.18.self_attn.q_proj,lambda_layer_model.layers.18.self_attn.v_proj,lambda_layer_model.layers.19.self_attn.q_proj,lambda_layer_model.layers.19.self_attn.v_proj,lambda_layer_model.layers.20.self_attn.q_proj,lambda_layer_model.layers.20.self_attn.v_proj,lambda_layer_model.layers.21.self_attn.q_proj,lambda_layer_model.layers.21.self_attn.v_proj,lambda_layer_model.layers.22.self_attn.q_proj,lambda_layer_model.layers.22.self_attn.v_proj,lambda_layer_model.layers.23.self_attn.q_proj,lambda_layer_model.layers.23.self_attn.v_proj,lambda_layer_model.layers.24.self_attn.q_proj,lambda_layer_model.layers.24.self_attn.v_proj,lambda_layer_model.layers.25.self_attn.q_proj,lambda_layer_model.layers.25.self_attn.v_proj,lambda_layer_model.layers.26.self_attn.q_proj,lambda_layer_model.layers.26.self_attn.v_proj,lambda_layer_model.layers.27.self_attn.q_proj,lambda_layer_model.layers.27.self_attn.v_proj
100,5.0374861883209086,0.83,0.915,1.0,1.3785629101345578,0.02406962010510532,0.0,0.0,0.0,0.0,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7,0.8,0.0,0.0,0.0,0.0,0.0,0.3,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7,0.0,0.0,0.0,0.0,0.0,0.3,0.0,0.3,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7,0.0
200,5.0245487496443095,0.9,0.91,1.0,1.3691480620996208,0.022163987213778973,0.0,0.0,0.0,0.0,0.6859999999999999,0.0,0.2,0.0,0.2,0.0,0.0,0.0,0.2,0.784,0.0,0.0,0.0,0.0,0.0,0.7,0.0,0.0,0.294,0.0,0.0,0.0,0.2,0.2,0.0,0.0,0.6859999999999999,0.0,0.0,0.0,0.0,0.0,0.294,0.0,0.2,0.6859999999999999,0.2,0.0,0.2,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6859999999999999,0.0
300,4.829271669294685,0.86,0.8633333333333333,1.0,1.3657320069453223,0.022744994523236528,0.0,0.0,0.0,0.0,0.6722799999999999,0.0,0.196,0.5,0.196,0.0,0.0,0.4,0.196,0.8,0.0,0.0,0.0,0.0,0.0,0.6859999999999999,0.4,0.0,0.28812,0.4,0.0,0.0,0.5,0.196,0.0,0.0,0.6722799999999999,0.0,0.0,0.0,0.0,0.4,0.28812,0.0,0.196,0.6722799999999999,0.196,0.0,0.196,0.0,0.196,0.4,0.4,0.0,0.0,0.8,0.0,0.0,0.0,0.0,0.6722799999999999,0.0
400,4.818958852551877,0.84,0.8666666666666667,1.0,1.3661567402469463,0.01858888742364278,0.0,0.4,0.4,0.0,0.6588343999999998,0.0,0.19208,0.49,0.19208,0.4,0.0,0.392,0.19208,0.784,0.0,0.0,0.0,0.0,0.0,0.6722799999999999,0.392,0.4,0.2823576,0.392,0.0,0.0,0.49,0.19208,0.0,0.7,0.6588343999999998,0.0,0.0,0.0,0.5,0.392,0.2823576,0.0,0.19208,0.6588343999999998,0.19208,0.0,0.19208,0.0,0.19208,0.392,0.7,0.7,0.0,0.784,0.4,0.0,0.0,0.0,0.6588343999999998,0.5
500,4.971643562400714,0.87,0.8566666666666666,1.0,1.3634071434841528,0.013520571001988304,0.0,0.4,0.392,0.0,0.6456577119999998,0.0,0.1882384,0.48019999999999996,0.1882384,0.4,0.0,0.38416,0.1882384,0.76832,0.3,0.0,0.0,0.0,0.0,0.6588343999999998,0.38416,0.392,0.276710448,0.4,0.0,0.0,0.48019999999999996,0.1882384,0.0,0.6859999999999999,0.6456577119999998,0.0,0.0,0.0,0.7,0.4,0.276710448,0.3,0.1882384,0.6456577119999998,0.1882384,0.0,0.1882384,0.4,0.1882384,0.38416,0.6859999999999999,0.6859999999999999,0.3,0.76832,0.392,0.3,0.0,0.0,0.6456577119999998,0.49
600,4.953941156249494,0.83,0.8466666666666667,1.0,1.3655494313827512,0.014637665615217494,0.0,0.392,0.38416,0.0,0.6327445577599997,0.0,0.184473632,0.47059599999999996,0.184473632,0.4,0.0,0.3764768,0.3,0.7529536,0.294,0.0,0.0,0.0,0.0,0.6456577119999998,0.3764768,0.38416,0.27117623904,0.5,0.0,0.0,0.47059599999999996,0.184473632,0.3,0.6722799999999999,0.6327445577599997,0.0,0.0,0.0,0.7,0.392,0.27117623904,0.5,0.184473632,0.6327445577599997,0.184473632,0.0,0.184473632,0.7,0.184473632,0.3764768,0.7,0.6722799999999999,0.5,0.7529536,0.38416,0.294,0.0,0.3,0.6327445577599997,0.48019999999999996
700,5.228389388686046,0.88,0.86,1.0,1.3651636942577234,0.015069700914734443,0.0,0.38416,0.3764768,0.0,0.6200896666047997,0.6,0.18078415936,0.46118407999999994,0.18078415936,0.392,0.0,0.368947264,0.294,0.737894528,0.28812,0.8,0.0,0.0,0.5,0.6327445577599997,0.368947264,0.3764768,0.2657527142592,0.5,0.0,0.0,0.46118407999999994,0.6,0.6,0.6588343999999998,0.6200896666047997,0.7,0.0,0.5,0.6859999999999999,0.38416,0.2657527142592,0.49,0.18078415936,0.6200896666047997,0.18078415936,0.0,0.18078415936,0.6859999999999999,0.18078415936,0.368947264,0.6859999999999999,0.6588343999999998,0.49,0.737894528,0.3764768,0.5,0.0,0.6,0.6200896666047997,0.47059599999999996
800,4.742431008033455,0.86,0.8566666666666666,1.0,1.360375541150077,0.008603861975383811,0.0,0.3764768,0.368947264,0.0,0.6076878732727037,0.588,0.1771684761728,0.4519603983999999,0.1771684761728,0.38416,0.0,0.36156831872,0.28812,0.72313663744,0.2823576,0.784,0.5,0.4,0.49,0.6200896666047997,0.36156831872,0.368947264,0.26043765997401597,0.6,0.0,0.7,0.4519603983999999,0.588,0.7,0.6456577119999998,0.6076878732727037,0.6859999999999999,0.6,0.7,0.6722799999999999,0.6,0.26043765997401597,0.48019999999999996,0.1771684761728,0.6076878732727037,0.1771684761728,0.5,0.1771684761728,0.6722799999999999,0.1771684761728,0.36156831872,0.6722799999999999,0.6456577119999998,0.48019999999999996,0.72313663744,0.368947264,0.6,0.0,0.588,0.6076878732727037,0.46118407999999994
900,4.8364800536748955,0.84,0.86,1.0,1.3596114016600567,0.007052838440618611,0.0,0.368947264,0.36156831872,0.0,0.5955341158072496,0.57624,0.173625106649344,0.4429211904319999,0.173625106649344,0.3764768,0.0,0.6,0.2823576,0.7086739046912,0.7,0.8,0.49,0.7,0.48019999999999996,0.6076878732727037,0.6,0.36156831872,0.25522890677453564,0.588,0.0,0.8,0.4429211904319999,0.57624,0.6859999999999999,0.6327445577599997,0.5955341158072496,0.6722799999999999,0.588,0.8,0.6588343999999998,0.588,0.25522890677453564,0.7,0.173625106649344,0.5955341158072496,0.173625106649344,0.7,0.173625106649344,0.8,0.173625106649344,0.3543369523456,0.6588343999999998,0.6327445577599997,0.47059599999999996,0.7086739046912,0.36156831872,0.588,0.0,0.57624,0.5955341158072496,0.4519603983999999
1000,4.7717031357996165,0.85,0.85,1.0,1.3590673983377417,0.006567209722041818,0.3,0.36156831872,0.3543369523456,0.0,0.5836234334911046,0.5647152,0.1701526045163571,0.4340627666233599,0.1701526045163571,0.368947264,0.3,0.588,0.276710448,0.694500426597376,0.6859999999999999,0.784,0.48019999999999996,0.8,0.47059599999999996,0.5955341158072496,0.588,0.3543369523456,0.25012432863904493,0.57624,0.2,0.784,0.4340627666233599,0.5647152,0.6722799999999999,0.6200896666047997,0.5836234334911046,0.6588343999999998,0.57624,0.784,0.6456577119999998,0.8,0.25012432863904493,0.8,0.1701526045163571,0.8,0.1701526045163571,0.6859999999999999,0.1701526045163571,0.85,0.1701526045163571,0.7,0.6456577119999998,0.6200896666047997,0.46118407999999994,0.694500426597376,0.3543369523456,0.57624,0.4,0.5647152,0.5836234334911046,0.4429211904319999
