step,train_loss,refusal_rate,refusal_rate_smoothed,alpaca_val_loss,mean_alignment,lambda_layer_0,lambda_layer_1,lambda_layer_2,lambda_layer_3,lambda_layer_4,lambda_layer_5,lambda_layer_6,lambda_layer_7,lambda_layer_8,lambda_layer_9,lambda_layer_10,lambda_layer_11,lambda_layer_12,lambda_layer_13,lambda_layer_14,lambda_layer_15,lambda_layer_16,lambda_layer_17,lambda_layer_18,lambda_layer_19,lambda_layer_20,lambda_layer_21,lambda_layer_22,lambda_layer_23,lambda_layer_24,lambda_layer_25,lambda_layer_26,lambda_layer_27
100,5.0374861883209086,0.63,0.815,1.3785629101345578,0.033371732237615755,0.0,0.0,0.7,0.6,0.0,0.55,0.0,0.3,0.0,0.5,0.0,0.0,0.7,0.8,0.75,0.0,0.65,0.0,0.0,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0
200,5.0208465916663405,0.64,0.7566666666666667,1.3688177618638824,0.02410705276166222,0.0,0.0,0.8,0.588,0.0,0.7,0.0,0.6,0.0,0.7,0.0,0.0,0.8,0.85,0.735,0.0,0.75,0.0,0.0,0.0,0.0,0.294,0.6,0.6,0.0,0.0,0.0,0.0
300,4.824867785600945,0.57,0.6133333333333333,1.3666847565102056,0.015764523946147944,0.0,0.0,0.8,0.7,0.0,0.7,0.0,0.7,0.0,0.6859999999999999,0.0,0.0,0.8,0.85,0.75,0.7,0.735,0.0,0.0,0.0,0.0,0.28812,0.7,0.588,0.0,0.0,0.0,0.0
400,4.815608224589377,0.51,0.5733333333333334,1.366185551975853,0.012972442815745515,0.0,0.0,0.8,0.6859999999999999,0.0,0.6859999999999999,0.6,0.6859999999999999,0.0,0.6722799999999999,0.0,0.6,0.8,0.85,0.735,0.6859999999999999,0.7202999999999999,0.0,0.0,0.7,0.0,0.2823576,0.6859999999999999,0.8,0.7,0.7,0.0,0.0
500,4.971452248953283,0.72,0.6,1.3641392993886747,0.0100536876624184,0.0,0.0,0.9,0.6722799999999999,0.0,0.6722799999999999,0.588,0.6722799999999999,0.0,0.6588343999999998,0.0,0.588,0.8,0.9,0.7202999999999999,0.6722799999999999,0.7058939999999999,0.0,0.0,0.6859999999999999,0.0,0.276710448,0.6722799999999999,0.8,0.8,0.6859999999999999,0.0,0.0
600,4.949105342375114,0.64,0.6233333333333334,1.3650956805357721,0.009638142322988383,0.0,0.0,0.882,0.6588343999999998,0.0,0.6588343999999998,0.57624,0.6588343999999998,0.8,0.6456577119999998,0.8,0.57624,0.784,0.882,0.7058939999999999,0.6588343999999998,0.6917761199999999,0.8,0.0,0.6722799999999999,0.6,0.7,0.8,0.85,0.85,0.6722799999999999,0.8,0.0
700,5.231722279549576,0.69,0.6833333333333332,1.3662399097349813,0.009881080860005957,0.0,0.0,0.9,0.8,0.0,0.6456577119999998,0.5647152,0.6456577119999998,0.784,0.6327445577599997,0.784,0.5647152,0.76832,0.9,0.8,0.6456577119999998,0.6779405975999999,0.784,0.0,0.6588343999999998,0.588,0.6859999999999999,0.784,0.85,0.833,0.6588343999999998,0.85,0.0
800,4.745452361777425,0.65,0.66,1.3598100705922418,0.007206985976413957,0.0,0.0,0.9,0.784,0.0,0.6327445577599997,0.553420896,0.6327445577599997,0.76832,0.6200896666047997,0.76832,0.75,0.7529536,0.9,0.784,0.6327445577599997,0.6643817856479999,0.76832,0.0,0.6456577119999998,0.8,0.6722799999999999,0.8,0.85,0.81634,0.75,0.833,0.0
900,4.831711632455699,0.6,0.6466666666666666,1.358321161881776,0.004517316714295053,0.0,0.0,0.9,0.76832,0.0,0.6200896666047997,0.54235247808,0.6200896666047997,0.7529536,0.6076878732727037,0.7529536,0.735,0.737894528,0.9,0.85,0.6200896666047997,0.6510941499350399,0.7529536,0.0,0.6327445577599997,0.85,0.6588343999999998,0.85,0.85,0.8000132,0.735,0.81634,0.0
1000,4.76226285408251,0.63,0.6266666666666666,1.3574300661557803,0.006753852424610939,0.0,0.0,0.882,0.7529536,0.0,0.6076878732727037,0.5315054285184,0.6076878732727037,0.737894528,0.5955341158072496,0.737894528,0.7202999999999999,0.72313663744,0.9,0.833,0.8,0.6380722669363391,0.85,0.0,0.8,0.833,0.8,0.833,0.833,0.784012936,0.7202999999999999,0.8000132,0.0
