step,train_loss,refusal_rate,refusal_rate_smoothed,baseline_refusal_rate,gsm8k_accuracy,mean_alignment,lambda_layer_model.layers.0.self_attn.q_proj,lambda_layer_model.layers.0.self_attn.v_proj,lambda_layer_model.layers.1.self_attn.q_proj,lambda_layer_model.layers.1.self_attn.v_proj,lambda_layer_model.layers.2.self_attn.q_proj,lambda_layer_model.layers.2.self_attn.v_proj,lambda_layer_model.layers.3.self_attn.q_proj,lambda_layer_model.layers.3.self_attn.v_proj,lambda_layer_model.layers.4.self_attn.q_proj,lambda_layer_model.layers.4.self_attn.v_proj,lambda_layer_model.layers.5.self_attn.q_proj,lambda_layer_model.layers.5.self_attn.v_proj,lambda_layer_model.layers.6.self_attn.q_proj,lambda_layer_model.layers.6.self_attn.v_proj,lambda_layer_model.layers.7.self_attn.q_proj,lambda_layer_model.layers.7.self_attn.v_proj,lambda_layer_model.layers.8.self_attn.q_proj,lambda_layer_model.layers.8.self_attn.v_proj,lambda_layer_model.layers.9.self_attn.q_proj,lambda_layer_model.layers.9.self_attn.v_proj,lambda_layer_model.layers.10.self_attn.q_proj,lambda_layer_model.layers.10.self_attn.v_proj,lambda_layer_model.layers.11.self_attn.q_proj,lambda_layer_model.layers.11.self_attn.v_proj,lambda_layer_model.layers.12.self_attn.q_proj,lambda_layer_model.layers.12.self_attn.v_proj,lambda_layer_model.layers.13.self_attn.q_proj,lambda_layer_model.layers.13.self_attn.v_proj,lambda_layer_model.layers.14.self_attn.q_proj,lambda_layer_model.layers.14.self_attn.v_proj,lambda_layer_model.layers.15.self_attn.q_proj,lambda_layer_model.layers.15.self_attn.v_proj,lambda_layer_model.layers.16.self_attn.q_proj,lambda_layer_model.layers.16.self_attn.v_proj,lambda_layer_model.layers.17.self_attn.q_proj,lambda_layer_model.layers.17.self_attn.v_proj,lambda_layer_model.layers.18.self_attn.q_proj,lambda_layer_model.layers.18.self_attn.v_proj,lambda_layer_model.layers.19.self_attn.q_proj,lambda_layer_model.layers.19.self_attn.v_proj,lambda_layer_model.layers.20.self_attn.q_proj,lambda_layer_model.layers.20.self_attn.v_proj,lambda_layer_model.layers.21.self_attn.q_proj,lambda_layer_model.layers.21.self_attn.v_proj,lambda_layer_model.layers.22.self_attn.q_proj,lambda_layer_model.layers.22.self_attn.v_proj,lambda_layer_model.layers.23.self_attn.q_proj,lambda_layer_model.layers.23.self_attn.v_proj,lambda_layer_model.layers.24.self_attn.q_proj,lambda_layer_model.layers.24.self_attn.v_proj,lambda_layer_model.layers.25.self_attn.q_proj,lambda_layer_model.layers.25.self_attn.v_proj,lambda_layer_model.layers.26.self_attn.q_proj,lambda_layer_model.layers.26.self_attn.v_proj,lambda_layer_model.layers.27.self_attn.q_proj,lambda_layer_model.layers.27.self_attn.v_proj
100,1.603811396881938,0.98,0.99,1.0,0.51,0.023640863946639,0.0,0.0,0.0,0.0,0.0,0.5,0.2,0.0,0.0,0.2,0.0,0.2,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.2,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0
200,1.454332453161478,0.95,0.9766666666666666,1.0,0.54,0.02145255303808621,0.2,0.0,0.0,0.0,0.0,0.5,0.2,0.0,0.0,0.196,0.0,0.196,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.2,0.49,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.49,0.0,0.0
300,1.4431405763328076,0.94,0.9566666666666667,1.0,0.49,0.018838395007021193,0.196,0.0,0.0,0.0,0.0,0.2,0.196,0.0,0.0,0.19208,0.0,0.19208,0.196,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.196,0.0,0.0,0.0,0.0,0.49,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.5,0.0,0.49,0.0,0.0,0.0,0.0,0.0,0.196,0.48019999999999996,0.0,0.196,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.48019999999999996,0.0,0.0
400,1.416185500919819,0.97,0.9533333333333333,1.0,0.515,0.016858073242474347,0.19208,0.0,0.0,0.0,0.2,0.196,0.19208,0.0,0.0,0.1882384,0.0,0.1882384,0.19208,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.19208,0.2,0.0,0.2,0.0,0.48019999999999996,0.0,0.0,0.2,0.0,0.2,0.0,0.0,0.2,0.2,0.48019999999999996,0.0,0.0,0.0,0.2,0.0,0.2,0.47059599999999996,0.0,0.19208,0.0,0.0,0.0,0.0,0.2,0.2,0.0,0.0,0.47059599999999996,0.2,0.2
500,1.4141862447932363,0.95,0.9533333333333333,1.0,0.435,0.017839133619418135,0.1882384,0.0,0.0,0.2,0.196,0.19208,0.1882384,0.0,0.0,0.184473632,0.0,0.184473632,0.2,0.0,0.0,0.0,0.0,0.0,0.196,0.196,0.1882384,0.196,0.0,0.196,0.0,0.47059599999999996,0.0,0.2,0.196,0.0,0.196,0.0,0.0,0.196,0.196,0.47059599999999996,0.0,0.0,0.0,0.196,0.0,0.196,0.46118407999999994,0.0,0.1882384,0.2,0.0,0.0,0.0,0.196,0.196,0.0,0.0,0.46118407999999994,0.196,0.196
600,1.4428522865474225,0.95,0.9566666666666667,1.0,0.45,0.015086381650430017,0.184473632,0.0,0.0,0.2,0.2,0.1882384,0.184473632,0.0,0.0,0.18078415936,0.0,0.18078415936,0.2,0.2,0.0,0.0,0.0,0.0,0.19208,0.19208,0.184473632,0.19208,0.0,0.19208,0.0,0.46118407999999994,0.0,0.196,0.19208,0.2,0.19208,0.0,0.0,0.19208,0.19208,0.46118407999999994,0.0,0.0,0.0,0.19208,0.0,0.19208,0.4519603983999999,0.0,0.184473632,0.2,0.0,0.0,0.0,0.19208,0.19208,0.0,0.0,0.4519603983999999,0.19208,0.19208
700,1.3731985527649522,0.97,0.9566666666666667,1.0,0.47,0.01264478950179182,0.18078415936,0.0,0.0,0.196,0.196,0.184473632,0.18078415936,0.2,0.2,0.1771684761728,0.0,0.1771684761728,0.196,0.196,0.0,0.0,0.0,0.0,0.1882384,0.1882384,0.18078415936,0.1882384,0.0,0.1882384,0.0,0.4519603983999999,0.0,0.19208,0.1882384,0.196,0.1882384,0.0,0.0,0.1882384,0.1882384,0.4519603983999999,0.0,0.2,0.2,0.1882384,0.0,0.1882384,0.4429211904319999,0.0,0.18078415936,0.196,0.0,0.0,0.0,0.1882384,0.1882384,0.0,0.0,0.4429211904319999,0.1882384,0.1882384
800,1.3492368057370185,0.94,0.9533333333333333,1.0,0.465,0.012259157245612837,0.1771684761728,0.0,0.0,0.2,0.2,0.18078415936,0.1771684761728,0.196,0.2,0.173625106649344,0.0,0.173625106649344,0.19208,0.19208,0.0,0.0,0.0,0.2,0.184473632,0.184473632,0.1771684761728,0.2,0.0,0.184473632,0.0,0.4429211904319999,0.0,0.1882384,0.184473632,0.19208,0.184473632,0.0,0.0,0.184473632,0.184473632,0.4429211904319999,0.0,0.196,0.196,0.184473632,0.0,0.184473632,0.4340627666233599,0.0,0.1771684761728,0.19208,0.0,0.0,0.0,0.184473632,0.184473632,0.0,0.0,0.4340627666233599,0.184473632,0.184473632
900,1.3573944394662976,0.94,0.9499999999999998,1.0,0.415,0.010639388599624258,0.173625106649344,0.0,0.0,0.7,0.5,0.1771684761728,0.173625106649344,0.19208,0.5,0.7,0.0,0.5,0.1882384,0.1882384,0.0,0.0,0.0,0.7,0.18078415936,0.18078415936,0.173625106649344,0.7,0.0,0.18078415936,0.0,0.4340627666233599,0.0,0.184473632,0.7,0.1882384,0.18078415936,0.0,0.0,0.18078415936,0.18078415936,0.4340627666233599,0.0,0.19208,0.19208,0.7,0.7,0.18078415936,0.4253815112908927,0.0,0.173625106649344,0.1882384,0.0,0.0,0.0,0.18078415936,0.18078415936,0.0,0.0,0.4253815112908927,0.18078415936,0.18078415936
1000,1.370837054029107,0.92,0.9333333333333332,1.0,0.445,0.008800033596344292,0.1701526045163571,0.0,0.0,0.6859999999999999,0.49,0.173625106649344,0.1701526045163571,0.1882384,0.49,0.8,0.0,0.49,0.184473632,0.184473632,0.0,0.0,0.0,0.8,0.1771684761728,0.7,0.7,0.6859999999999999,0.0,0.7,0.0,0.4253815112908927,0.7,0.18078415936,0.6859999999999999,0.184473632,0.1771684761728,0.5,0.0,0.1771684761728,0.8,0.4253815112908927,0.0,0.7,0.1882384,0.6859999999999999,0.6859999999999999,0.1771684761728,0.41687388106507484,0.6,0.1701526045163571,0.184473632,0.6,0.6,0.6,0.1771684761728,0.1771684761728,0.0,0.0,0.41687388106507484,0.1771684761728,0.6
