step,train_loss,refusal_rate,refusal_rate_smoothed,gsm8k_accuracy,mean_alignment,lambda_layer_0,lambda_layer_1,lambda_layer_2,lambda_layer_3,lambda_layer_4,lambda_layer_5,lambda_layer_6,lambda_layer_7,lambda_layer_8,lambda_layer_9,lambda_layer_10,lambda_layer_11,lambda_layer_12,lambda_layer_13,lambda_layer_14,lambda_layer_15,lambda_layer_16,lambda_layer_17,lambda_layer_18,lambda_layer_19,lambda_layer_20,lambda_layer_21,lambda_layer_22,lambda_layer_23,lambda_layer_24,lambda_layer_25,lambda_layer_26,lambda_layer_27
100,1.615184885673225,0.93,0.9650000000000001,0.505,0.027614330889524093,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.5,0.0,0.0,0.0,0.0
200,1.4561871211230755,0.89,0.9400000000000001,0.535,0.026240761591387645,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.49,0.8,0.7,0.0,0.0,0.0,0.6,0.0,0.0,0.7,0.49,0.49,0.0,0.0,0.0,0.6
300,1.3800509165227413,0.89,0.9033333333333333,0.525,0.022116324298882058,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7,0.8,0.7,0.0,0.0,0.0,0.7,0.0,0.0,0.8,0.48019999999999996,0.48019999999999996,0.0,0.4,0.0,0.7
400,1.3826799937337637,0.85,0.8766666666666666,0.495,0.018229614111727903,0.0,0.0,0.0,0.6,0.4,0.0,0.0,0.4,0.0,0.5,0.8,0.0,0.6859999999999999,0.784,0.6859999999999999,0.6,0.0,0.0,0.8,0.7,0.5,0.784,0.47059599999999996,0.47059599999999996,0.0,0.5,0.0,0.6859999999999999
500,1.4224557346105575,0.88,0.8733333333333334,0.565,0.00967607881674277,0.0,0.0,0.0,0.588,0.392,0.0,0.0,0.8,0.0,0.49,0.8,0.0,0.6722799999999999,0.8,0.7,0.588,0.0,0.0,0.8,0.6859999999999999,0.49,0.8,0.46118407999999994,0.46118407999999994,0.0,0.7,0.0,0.6722799999999999
600,1.3506164401769638,0.87,0.8666666666666667,0.53,0.008803307361501669,0.0,0.0,0.0,0.57624,0.38416,0.0,0.0,0.9,0.0,0.48019999999999996,0.9,0.7,0.6588343999999998,0.9,0.6859999999999999,0.7,0.0,0.0,0.784,0.6722799999999999,0.8,0.784,0.4519603983999999,0.4519603983999999,0.5,0.6859999999999999,0.0,0.6588343999999998
700,1.4107977011054755,0.86,0.87,0.51,0.008738816441369377,0.0,0.0,0.0,0.5647152,0.3764768,0.0,0.0,0.9,0.0,0.47059599999999996,0.9,0.6859999999999999,0.6456577119999998,0.9,0.6722799999999999,0.6859999999999999,0.0,0.0,0.76832,0.6588343999999998,0.784,0.76832,0.4429211904319999,0.4429211904319999,0.8,0.8,0.0,0.6456577119999998
800,1.4366621522605418,0.85,0.86,0.525,0.006781158345152757,0.0,0.0,0.0,0.8,0.368947264,0.0,0.0,0.9,0.0,0.46118407999999994,0.9,0.8,0.6327445577599997,0.9,0.7,0.6722799999999999,0.0,0.0,0.8,0.6456577119999998,0.76832,0.8,0.4340627666233599,0.4340627666233599,0.784,0.784,0.6,0.7
900,1.369515795633197,0.85,0.8533333333333334,0.48,0.007645023363043687,0.0,0.0,0.0,0.9,0.36156831872,0.0,0.0,0.9,0.0,0.4519603983999999,0.9,0.784,0.8,0.9,0.6859999999999999,0.6588343999999998,0.0,0.0,0.784,0.6327445577599997,0.7529536,0.784,0.4253815112908927,0.4253815112908927,0.9,0.76832,0.7,0.6859999999999999
1000,1.4067307237908244,0.87,0.8566666666666666,0.515,0.006654224079933816,0.0,0.0,0.0,0.9,0.3543369523456,0.0,0.0,0.9,0.0,0.4429211904319999,0.9,0.76832,0.85,0.85,0.6722799999999999,0.6456577119999998,0.0,0.0,0.76832,0.6200896666047997,0.737894528,0.76832,0.41687388106507484,0.41687388106507484,0.882,0.7529536,0.6859999999999999,0.6722799999999999
