step,train_loss,refusal_rate,refusal_rate_smoothed,baseline_refusal_rate,gsm8k_accuracy,mean_alignment,lambda_layer_model.layers.0.self_attn.q_proj,lambda_layer_model.layers.0.self_attn.v_proj,lambda_layer_model.layers.1.self_attn.q_proj,lambda_layer_model.layers.1.self_attn.v_proj,lambda_layer_model.layers.2.self_attn.q_proj,lambda_layer_model.layers.2.self_attn.v_proj,lambda_layer_model.layers.3.self_attn.q_proj,lambda_layer_model.layers.3.self_attn.v_proj,lambda_layer_model.layers.4.self_attn.q_proj,lambda_layer_model.layers.4.self_attn.v_proj,lambda_layer_model.layers.5.self_attn.q_proj,lambda_layer_model.layers.5.self_attn.v_proj,lambda_layer_model.layers.6.self_attn.q_proj,lambda_layer_model.layers.6.self_attn.v_proj,lambda_layer_model.layers.7.self_attn.q_proj,lambda_layer_model.layers.7.self_attn.v_proj,lambda_layer_model.layers.8.self_attn.q_proj,lambda_layer_model.layers.8.self_attn.v_proj,lambda_layer_model.layers.9.self_attn.q_proj,lambda_layer_model.layers.9.self_attn.v_proj,lambda_layer_model.layers.10.self_attn.q_proj,lambda_layer_model.layers.10.self_attn.v_proj,lambda_layer_model.layers.11.self_attn.q_proj,lambda_layer_model.layers.11.self_attn.v_proj,lambda_layer_model.layers.12.self_attn.q_proj,lambda_layer_model.layers.12.self_attn.v_proj,lambda_layer_model.layers.13.self_attn.q_proj,lambda_layer_model.layers.13.self_attn.v_proj,lambda_layer_model.layers.14.self_attn.q_proj,lambda_layer_model.layers.14.self_attn.v_proj,lambda_layer_model.layers.15.self_attn.q_proj,lambda_layer_model.layers.15.self_attn.v_proj,lambda_layer_model.layers.16.self_attn.q_proj,lambda_layer_model.layers.16.self_attn.v_proj,lambda_layer_model.layers.17.self_attn.q_proj,lambda_layer_model.layers.17.self_attn.v_proj,lambda_layer_model.layers.18.self_attn.q_proj,lambda_layer_model.layers.18.self_attn.v_proj,lambda_layer_model.layers.19.self_attn.q_proj,lambda_layer_model.layers.19.self_attn.v_proj,lambda_layer_model.layers.20.self_attn.q_proj,lambda_layer_model.layers.20.self_attn.v_proj,lambda_layer_model.layers.21.self_attn.q_proj,lambda_layer_model.layers.21.self_attn.v_proj,lambda_layer_model.layers.22.self_attn.q_proj,lambda_layer_model.layers.22.self_attn.v_proj,lambda_layer_model.layers.23.self_attn.q_proj,lambda_layer_model.layers.23.self_attn.v_proj,lambda_layer_model.layers.24.self_attn.q_proj,lambda_layer_model.layers.24.self_attn.v_proj,lambda_layer_model.layers.25.self_attn.q_proj,lambda_layer_model.layers.25.self_attn.v_proj,lambda_layer_model.layers.26.self_attn.q_proj,lambda_layer_model.layers.26.self_attn.v_proj,lambda_layer_model.layers.27.self_attn.q_proj,lambda_layer_model.layers.27.self_attn.v_proj
100,1.615184885673225,0.98,0.99,1.0,0.505,0.03057486644995931,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
200,1.4560952409356833,0.97,0.9833333333333334,1.0,0.53,0.02641748303930009,0.0,0.0,0.0,0.0,0.49,0.2,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.5,0.0,0.5,0.0,0.0,0.0,0.0,0.49,0.5,0.0,0.2,0.0,0.5,0.6859999999999999,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.49,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.49,0.0,0.5,0.0,0.0,0.0,0.0,0.2,0.2,0.5,0.5,0.2
300,1.379464228749275,0.96,0.9700000000000001,1.0,0.55,0.020475375733180305,0.0,0.0,0.0,0.2,0.48019999999999996,0.2,0.0,0.0,0.196,0.0,0.0,0.0,0.0,0.49,0.0,0.2,0.0,0.0,0.0,0.0,0.48019999999999996,0.49,0.0,0.2,0.0,0.49,0.6722799999999999,0.0,0.196,0.2,0.0,0.2,0.0,0.0,0.0,0.0,0.48019999999999996,0.0,0.0,0.49,0.0,0.2,0.0,0.0,0.48019999999999996,0.0,0.49,0.0,0.0,0.0,0.0,0.2,0.196,0.49,0.49,0.2
400,1.3813399650529028,0.95,0.96,1.0,0.51,0.018534971642241414,0.0,0.0,0.0,0.5,0.47059599999999996,0.196,0.0,0.0,0.19208,0.0,0.0,0.2,0.0,0.48019999999999996,0.0,0.5,0.0,0.0,0.0,0.0,0.47059599999999996,0.48019999999999996,0.0,0.196,0.0,0.48019999999999996,0.6588343999999998,0.0,0.2,0.2,0.0,0.196,0.0,0.0,0.0,0.0,0.47059599999999996,0.0,0.0,0.48019999999999996,0.0,0.196,0.0,0.0,0.47059599999999996,0.0,0.48019999999999996,0.0,0.0,0.0,0.0,0.196,0.19208,0.48019999999999996,0.48019999999999996,0.196
500,1.4210573069751262,0.96,0.9566666666666667,1.0,0.59,0.015021681016410835,0.0,0.0,0.0,0.49,0.46118407999999994,0.2,0.0,0.0,0.1882384,0.2,0.0,0.196,0.0,0.47059599999999996,0.0,0.49,0.2,0.0,0.0,0.0,0.46118407999999994,0.47059599999999996,0.0,0.19208,0.0,0.47059599999999996,0.6456577119999998,0.2,0.196,0.2,0.0,0.19208,0.0,0.0,0.0,0.0,0.46118407999999994,0.0,0.0,0.47059599999999996,0.0,0.19208,0.0,0.0,0.46118407999999994,0.0,0.47059599999999996,0.0,0.0,0.0,0.0,0.19208,0.1882384,0.47059599999999996,0.47059599999999996,0.19208
600,1.3479713943228127,0.93,0.9466666666666667,1.0,0.555,0.01525723971800679,0.0,0.0,0.0,0.5,0.4519603983999999,0.5,0.0,0.0,0.184473632,0.6,0.0,0.19208,0.0,0.46118407999999994,0.0,0.48019999999999996,0.7,0.0,0.0,0.0,0.4519603983999999,0.46118407999999994,0.0,0.1882384,0.6,0.46118407999999994,0.6327445577599997,0.7,0.6,0.6,0.0,0.5,0.0,0.0,0.0,0.0,0.4519603983999999,0.0,0.0,0.46118407999999994,0.6,0.1882384,0.0,0.0,0.4519603983999999,0.0,0.46118407999999994,0.0,0.0,0.0,0.0,0.1882384,0.184473632,0.46118407999999994,0.46118407999999994,0.1882384
700,1.4074288164265454,0.93,0.9400000000000001,1.0,0.54,0.010999458375278794,0.0,0.0,0.0,0.49,0.4429211904319999,0.49,0.0,0.6,0.18078415936,0.588,0.0,0.1882384,0.0,0.4519603983999999,0.0,0.47059599999999996,0.8,0.0,0.6,0.7,0.4429211904319999,0.4519603983999999,0.0,0.184473632,0.588,0.4519603983999999,0.8,0.8,0.588,0.588,0.0,0.49,0.0,0.0,0.7,0.0,0.4429211904319999,0.0,0.0,0.4519603983999999,0.588,0.7,0.0,0.0,0.4429211904319999,0.0,0.4519603983999999,0.0,0.0,0.0,0.6,0.6,0.18078415936,0.4519603983999999,0.4519603983999999,0.184473632
800,1.434620017670095,0.93,0.93,1.0,0.5,0.008491155030372153,0.0,0.7,0.0,0.48019999999999996,0.4340627666233599,0.7,0.0,0.7,0.1771684761728,0.57624,0.0,0.184473632,0.0,0.4429211904319999,0.0,0.46118407999999994,0.8,0.7,0.588,0.8,0.4340627666233599,0.4429211904319999,0.0,0.18078415936,0.57624,0.4429211904319999,0.8,0.784,0.57624,0.7,0.0,0.48019999999999996,0.0,0.0,0.6859999999999999,0.0,0.4340627666233599,0.0,0.0,0.4429211904319999,0.57624,0.6859999999999999,0.0,0.0,0.4340627666233599,0.7,0.4429211904319999,0.0,0.0,0.0,0.588,0.7,0.1771684761728,0.4429211904319999,0.4429211904319999,0.18078415936
900,1.3742528781667351,0.91,0.9233333333333333,1.0,0.495,0.007078927638108975,0.0,0.6859999999999999,0.0,0.47059599999999996,0.4253815112908927,0.8,0.0,0.8,0.173625106649344,0.5647152,0.6,0.18078415936,0.8,0.4340627666233599,0.6,0.4519603983999999,0.784,0.6859999999999999,0.57624,0.784,0.4253815112908927,0.4340627666233599,0.0,0.1771684761728,0.5647152,0.4340627666233599,0.784,0.8,0.5647152,0.6859999999999999,0.6,0.47059599999999996,0.0,0.0,0.6722799999999999,0.0,0.4253815112908927,0.0,0.7,0.4340627666233599,0.5647152,0.6722799999999999,0.0,0.7,0.4253815112908927,0.6859999999999999,0.4340627666233599,0.0,0.0,0.0,0.57624,0.6859999999999999,0.173625106649344,0.4340627666233599,0.4340627666233599,0.7
1000,1.4095935811847449,0.91,0.9166666666666666,1.0,0.505,0.005398464054451324,0.0,0.6722799999999999,0.6,0.6,0.41687388106507484,0.784,0.0,0.784,0.1701526045163571,0.553420896,0.588,0.6,0.784,0.4253815112908927,0.7,0.4429211904319999,0.76832,0.8,0.5647152,0.76832,0.41687388106507484,0.4253815112908927,0.0,0.6,0.553420896,0.4253815112908927,0.76832,0.784,0.553420896,0.6722799999999999,0.7,0.46118407999999994,0.0,0.6,0.6588343999999998,0.7,0.41687388106507484,0.7,0.6859999999999999,0.4253815112908927,0.553420896,0.6588343999999998,0.0,0.6859999999999999,0.41687388106507484,0.6722799999999999,0.4253815112908927,0.0,0.0,0.0,0.5647152,0.6722799999999999,0.1701526045163571,0.4253815112908927,0.4253815112908927,0.6859999999999999
