step,train_loss,refusal_rate,refusal_rate_smoothed,gsm8k_accuracy,mean_alignment,lambda_layer_0,lambda_layer_1,lambda_layer_2,lambda_layer_3,lambda_layer_4,lambda_layer_5,lambda_layer_6,lambda_layer_7,lambda_layer_8,lambda_layer_9,lambda_layer_10,lambda_layer_11,lambda_layer_12,lambda_layer_13,lambda_layer_14,lambda_layer_15,lambda_layer_16,lambda_layer_17,lambda_layer_18,lambda_layer_19,lambda_layer_20,lambda_layer_21,lambda_layer_22,lambda_layer_23,lambda_layer_24,lambda_layer_25,lambda_layer_26,lambda_layer_27
100,1.615184885673225,0.93,0.9650000000000001,0.505,0.027614330889524093,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.5,0.0,0.0,0.0,0.0
200,1.4561871211230755,0.89,0.9400000000000001,0.535,0.026240761591387645,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.49,0.8,0.7,0.0,0.0,0.0,0.7,0.0,0.0,0.8,0.49,0.49,0.0,0.0,0.0,0.7
300,1.379980338960886,0.89,0.9033333333333333,0.52,0.021681557076850107,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,0.85,0.8,0.0,0.0,0.0,0.8,0.0,0.0,0.85,0.48019999999999996,0.48019999999999996,0.0,0.7,0.0,0.6859999999999999
400,1.382914485372603,0.85,0.8766666666666666,0.51,0.017668565968051553,0.0,0.0,0.0,0.5,0.5,0.0,0.0,0.5,0.0,0.5,0.8,0.0,0.784,0.833,0.784,0.5,0.0,0.0,0.784,0.5,0.5,0.833,0.47059599999999996,0.47059599999999996,0.0,0.6859999999999999,0.0,0.6722799999999999
500,1.422244079783559,0.88,0.8733333333333334,0.555,0.00962448920888294,0.0,0.0,0.0,0.49,0.49,0.0,0.0,0.8,0.0,0.49,0.8,0.0,0.8,0.85,0.7,0.7,0.0,0.0,0.76832,0.49,0.49,0.85,0.46118407999999994,0.46118407999999994,0.0,0.6722799999999999,0.0,0.6588343999999998
600,1.3501980193704366,0.87,0.8666666666666667,0.51,0.009046866375553821,0.0,0.0,0.0,0.48019999999999996,0.48019999999999996,0.0,0.0,0.9,0.0,0.48019999999999996,0.85,0.0,0.784,0.9,0.6859999999999999,0.8,0.0,0.0,0.7529536,0.48019999999999996,0.48019999999999996,0.9,0.4519603983999999,0.4519603983999999,0.0,0.6588343999999998,0.0,0.6456577119999998
700,1.4105093461833895,0.84,0.8633333333333333,0.525,0.009315725499098855,0.0,0.0,0.0,0.8,0.47059599999999996,0.0,0.0,0.9,0.0,0.8,0.8,0.0,0.8,0.9,0.8,0.8,0.0,0.0,0.8,0.47059599999999996,0.47059599999999996,0.9,0.4429211904319999,0.4429211904319999,0.0,0.6456577119999998,0.0,0.6327445577599997
800,1.4355505683645606,0.81,0.84,0.535,0.00848648778628558,0.0,0.0,0.0,0.9,0.46118407999999994,0.0,0.0,0.9,0.0,0.784,0.8,0.0,0.8,0.9,0.784,0.784,0.0,0.0,0.8,0.7,0.7,0.9,0.4340627666233599,0.4340627666233599,0.0,0.7,0.0,0.6200896666047997
900,1.3696698494255544,0.83,0.8266666666666667,0.505,0.008854287560097873,0.0,0.7,0.0,0.9,0.4519603983999999,0.7,0.7,0.9,0.0,0.76832,0.784,0.7,0.784,0.9,0.76832,0.76832,0.0,0.0,0.784,0.6859999999999999,0.6859999999999999,0.9,0.4253815112908927,0.4253815112908927,0.7,0.6859999999999999,0.0,0.6076878732727037
1000,1.4080788395181298,0.87,0.8366666666666666,0.505,0.004753151276547994,0.0,0.6859999999999999,0.7,0.882,0.4429211904319999,0.8,0.8,0.882,0.7,0.7529536,0.76832,0.8,0.85,0.882,0.7529536,0.7529536,0.0,0.0,0.76832,0.6722799999999999,0.6722799999999999,0.882,0.41687388106507484,0.41687388106507484,0.8,0.6722799999999999,0.7,0.5955341158072496
