step,train_loss,refusal_rate,alpaca_val_loss
100,5.0374861883209086,0.83,1.3780976966933267
200,5.023923334572464,0.91,1.3688971591071983
300,4.829305085744709,0.88,1.3662626336243133
400,4.8224998645205055,0.83,1.3663012364466056
500,4.976765145575627,0.86,1.3640965399721343
600,4.964673520037905,0.82,1.365652486630594
700,5.215364808412269,0.9,1.3645054021261436
800,4.743719662297517,0.9,1.3590294158334046
900,4.812933671600185,0.83,1.358039090856186
1000,4.791177306380123,0.87,1.358748149664087
1100,4.880513158831746,0.76,1.3626940386253914
1200,4.76796528307721,0.89,1.3591580951641433
1300,4.744273541220464,0.89,1.3581198820537894
1400,4.674720439657103,0.84,1.3570071492503566
1500,4.639306716317078,0.86,1.360408300316319
1600,4.416343349199742,0.82,1.3586779199281327
1700,4.361525350124575,0.9,1.3590357700326476
1800,4.3811092478502545,0.86,1.3591611903173904
1900,4.556496764335316,0.84,1.3598268568365852
2000,4.496264798599295,0.85,1.3612263916466847
