step,train_loss,refusal_rate,alpaca_val_loss,mean_alignment
100,5.0374861883209086,0.62,1.3636545352749638,4.7161509948117395e-07
200,5.021655721738934,0.66,1.3540605066629152,4.762093470032726e-07
300,4.829283635420725,0.5,1.3526765938073748,5.247420631349087e-07
400,4.813037976436317,0.61,1.3526250479819764,4.913973888116223e-07
500,4.963459813157097,0.7,1.3488923175011578,4.778183730585235e-07
600,4.951116475975141,0.64,1.3518642878218547,5.622194813830512e-07
700,5.203018316188827,0.67,1.3503208054336675,4.420123462166105e-07
800,4.7378857035189865,0.63,1.3449624688779853,4.869736065821988e-07
900,4.8249772137589755,0.61,1.345847634234253,4.4750049710273743e-07
1000,4.7980069335736335,0.64,1.3423036283908572,5.528646787362439e-07
1100,4.875955089554191,0.57,1.3486533563986562,4.403284817401852e-07
1200,4.774870187693741,0.67,1.3431405526951994,3.563680885625737e-07
1300,4.732454287586734,0.72,1.340047103820945,3.456537212644305e-07
1400,4.6620020737359305,0.65,1.3403947438925818,3.809192483978612e-07
1500,4.642768339816248,0.68,1.3450590414544359,4.0209020621010237e-07
1600,4.429341382519342,0.63,1.3435687600912782,4.81335778853723e-07
1700,4.357085051927715,0.67,1.3433396632203145,3.8369658536144667e-07
1800,4.380219120415859,0.64,1.3421671877893724,3.7068301545722146e-07
1900,4.56518497432,0.64,1.3425496650192523,4.3334772012063437e-07
2000,4.502659811610356,0.63,1.3427808282116254,4.059651733509132e-07
