step,train_loss,refusal_rate,gsm8k_accuracy,mean_alignment
100,1.6190168212726712,0.95,0.485,4.7462526708841324e-07
200,1.4589532034099102,0.93,0.535,4.1491252237132616e-07
300,1.3800071461498737,0.92,0.52,4.141391920191901e-07
400,1.3872790513932705,0.91,0.52,4.390021786093712e-07
500,1.4267693646997213,0.93,0.525,4.467853744115148e-07
600,1.3483526653051376,0.91,0.51,4.393264784344605e-07
700,1.4111223324015736,0.9,0.525,3.637188845979316e-07
800,1.436756862513721,0.88,0.565,4.2837512280259814e-07
900,1.3742657151445747,0.9,0.525,4.6153685876301355e-07
1000,1.4078855542093516,0.9,0.535,4.0865935651319365e-07
1100,1.398438791334629,0.87,0.535,4.938587413302489e-07
1200,1.3256218161433935,0.89,0.52,4.893809091299772e-07
1300,1.4306162848323583,0.88,0.475,4.723302221723965e-07
1400,1.3720555147901177,0.84,0.5,4.25955347184624e-07
1500,1.3863692927360534,0.84,0.465,4.3534756904201846e-07
1600,1.406767126992345,0.83,0.47,4.371229026998792e-07
1700,1.375184230133891,0.83,0.505,4.02788698141064e-07
1800,1.4059389806166291,0.86,0.515,3.9754585096878667e-07
1900,1.3588646288961173,0.83,0.495,4.224420990794897e-07
2000,1.2636264185234904,0.83,0.45,4.327905896518912e-07
