step,train_loss,refusal_rate,gsm8k_accuracy
100,1.558774262368679,0.97,0.55
200,1.4286817926168442,0.97,0.53
300,1.4753603189066054,0.97,0.5
400,1.4463008873537182,0.94,0.46
500,1.4451719418913127,0.94,0.485
600,1.3916083130612968,0.91,0.46
700,1.3476349171996116,0.92,0.51
800,1.4268900284171104,0.91,0.53
900,1.443277993015945,0.92,0.455
1000,1.3931726711988448,0.91,0.465
1100,1.3879397874511779,0.88,0.52
1200,1.3872696813568473,0.89,0.485
1300,1.420032061431557,0.86,0.495
1400,1.330981733687222,0.9,0.5
1500,1.335616392120719,0.9,0.495
1600,1.386265183016658,0.89,0.51
1700,1.2932996290549637,0.9,0.485
1800,1.3211420692130924,0.9,0.47
1900,1.3388540012016892,0.9,0.47
2000,1.2513184101507067,0.91,0.505
