step,train_loss,refusal_rate,gsm8k_accuracy
100,1.615184885673225,0.98,0.505
200,1.4553731589019299,0.97,0.54
300,1.3799369778484105,0.95,0.525
400,1.3818075571954251,0.96,0.47
500,1.4199554733932018,0.96,0.545
600,1.3496371050551534,0.93,0.52
700,1.406498170942068,0.93,0.53
800,1.4318260473385453,0.9,0.52
900,1.3650581461191178,0.9,0.525
1000,1.4002823007106782,0.91,0.5
1100,1.3935092375427485,0.91,0.515
1200,1.320962048843503,0.92,0.515
1300,1.4308531121909618,0.94,0.505
1400,1.3619899541139602,0.9,0.48
1500,1.3786128056794404,0.9,0.525
1600,1.396336675658822,0.91,0.52
1700,1.369062255397439,0.87,0.53
1800,1.3963685379177333,0.88,0.445
1900,1.3546985874697566,0.85,0.485
2000,1.2618127470836042,0.86,0.52
