step,train_loss,refusal_rate,alpaca_val_loss,mean_alignment
100,5.03722,0.63,1.3635,0.033112
200,5.02232,0.62,1.3543,0.034964
300,4.82925,0.61,1.3538,0.030822
400,4.82802,0.49,1.3535,0.028952
500,4.97251,0.71,1.3502,0.026423
600,4.95856,0.64,1.3524,0.032469
700,5.22913,0.68,1.351,0.028173
800,4.74621,0.66,1.3452,0.02741
900,4.82464,0.51,1.3449,0.028907
1000,4.77948,0.56,1.3453,0.029411
1100,4.86497,0.51,1.3483,0.03193
1200,4.77379,0.65,1.3427,0.030149
1300,4.75402,0.74,1.3408,0.029739
1400,4.69152,0.6,1.3422,0.031372
1500,4.64322,0.51,1.3483,0.032786
1600,4.4092,0.51,1.3454,0.031687
1700,4.37396,0.62,1.3455,0.031704
1800,4.38366,0.63,1.3448,0.030898
1900,4.55337,0.57,1.3443,0.028854
2000,4.50569,0.53,1.3446,0.028329
