step,train_loss,refusal_rate,gsm8k_accuracy,mean_alignment
100,1.621294430270791,0.98,0.48,0.024883066577396157
200,1.548167982213199,0.97,0.45,0.024552660041081253
300,1.4773160008341073,0.97,0.405,0.025127418889106985
400,1.4909659963846207,0.98,0.49,0.02492999534531139
500,1.5213055253773928,0.92,0.455,0.025214651859382035
600,1.4499189311265945,0.98,0.39,0.0250121129564442
700,1.52252215385437,0.95,0.405,0.02481253606258958
800,1.5297171088680626,0.92,0.48,0.02444161636438886
900,1.4784150072932243,0.94,0.435,0.02499313064618036
1000,1.51331933490932,0.94,0.465,0.025325553855509497
1100,1.517832344919443,0.94,0.465,0.024740182603376785
1200,1.4349176367372274,0.9,0.405,0.02414968831414756
1300,1.546368862502277,0.91,0.46,0.024130130324920174
1400,1.4793915717676283,0.92,0.445,0.024575262057104346
1500,1.5052447860687972,0.9,0.45,0.02453149612119887
1600,1.5116427144408227,0.89,0.485,0.02477240078068072
1700,1.4808313730731606,0.87,0.465,0.025083897203996588
1800,1.515059524513781,0.9,0.415,0.025003005452163052
1900,1.448858188521117,0.86,0.435,0.023969251481113524
2000,1.3046213045716286,0.91,0.425,0.023895327702640707
