step,train_loss,refusal_rate,gsm8k_accuracy,mean_alignment
100,1.61749,0.91,0.495,0.026714307455612
200,1.45638,0.9,0.535,0.0311992354358413
300,1.37999,0.9,0.51,0.033576309032339
400,1.38289,0.82,0.525,0.0301130027011302
500,1.42062,0.88,0.56,0.0281749657421771
600,1.34929,0.86,0.5,0.0278400672333581
700,1.40763,0.83,0.525,0.0294571946308548
800,1.43161,0.83,0.51,0.0276043913742926
900,1.36708,0.84,0.515,0.0292481778389109
1000,1.40287,0.82,0.495,0.0300920799740457
1100,1.39532,0.82,0.515,0.0307219601943091
1200,1.32113,0.82,0.52,0.0291401713454563
1300,1.4305,0.82,0.53,0.0288253670483495
1400,1.36298,0.78,0.5,0.028837883745187
1500,1.38134,0.78,0.475,0.0301922710329693
1600,1.39552,0.74,0.505,0.0313691909624529
1700,1.36869,0.76,0.525,0.0322118257172405
1800,1.39558,0.76,0.48,0.0317630769485341
1900,1.35455,0.72,0.485,0.0305458474571683
2000,1.26352,0.75,0.505,0.0290710610570386
