step,train_loss,refusal_rate,gsm8k_accuracy,mean_alignment,lambda
100,1.6152929456532,0.93,0.5,0.0238380627956108,0.25
200,1.4554082632809875,0.9,0.53,0.0258382348776129,0.25
300,1.3798503629118204,0.89,0.535,0.0260872105302821,0.25
400,1.3819285145029423,0.81,0.485,0.0252787784640012,0.3
500,1.4203822858631612,0.86,0.535,0.0232657515277553,0.3
600,1.349594508819282,0.84,0.52,0.0237113324526165,0.3
700,1.4067282363586129,0.84,0.53,0.0235665173136762,0.3
800,1.4338557921350001,0.83,0.51,0.023680929975983287,0.3
900,1.3650955014303328,0.82,0.545,0.021923340574306036,0.3
1000,1.4018729288130998,0.81,0.515,0.020994756603613496,0.35
1100,1.3931638510525226,0.83,0.49,0.02127822715556249,0.35
1200,1.3208318826556207,0.83,0.48,0.020700116658450236,0.35
1300,1.4309481146186591,0.81,0.49,0.021047505192525153,0.39999999999999997
1400,1.3594322184100747,0.79,0.475,0.02084874321008101,0.44999999999999996
1500,1.3795241904631257,0.78,0.465,0.02206431807384693,0.49999999999999994
1600,1.39571962274611,0.76,0.505,0.021108597167767584,0.5499999999999999
1700,1.3690163425728679,0.78,0.52,0.019626567065383176,0.6
1800,1.3970198873057962,0.76,0.49,0.021816741791553795,0.65
1900,1.3522224057465793,0.75,0.48,0.021467529204008833,0.7000000000000001
2000,1.2612468672916293,0.72,0.525,0.021466387336009314,0.7500000000000001
