step,train_loss,refusal_rate,alpaca_val_loss,alpha
100,5.0374861883209086,0.83,1.3785629101345578,0.05
200,5.024094680035486,0.9,1.3690584902682736,0.05
300,4.8293874797225,0.88,1.3662389606457166,0.05
400,4.822439254457131,0.83,1.3668170276323035,0.1
500,4.9766987749096,0.88,1.3641702619191083,0.1
600,4.964720955947414,0.83,1.366328392096953,0.15000000000000002
700,5.216346704568714,0.89,1.3646029296531543,0.15000000000000002
800,4.7434248656407,0.9,1.359089615338573,0.15000000000000002
900,4.8127570450725035,0.82,1.3581038770509057,0.2
1000,4.792580791176297,0.85,1.3589017119439117,0.2
1100,4.880746765155346,0.78,1.363215885934737,0.25
1200,4.768226452965755,0.89,1.3591041797074408,0.25
1300,4.7444450309826065,0.89,1.3583261042732693,0.25
1400,4.675286344320048,0.82,1.3573939849013925,0.3
1500,4.640255589354783,0.84,1.3604381603323144,0.35
1600,4.4165163138252685,0.81,1.3589703948313057,0.39999999999999997
1700,4.3625175835285335,0.88,1.359113763936953,0.39999999999999997
1800,4.380995234018192,0.85,1.359316733609093,0.39999999999999997
1900,4.557599985074485,0.87,1.3600480996180628,0.39999999999999997
2000,4.496821442795917,0.83,1.36079244567417,0.44999999999999996
