step,train_loss,refusal_rate,gsm8k_accuracy
100,1.603811396881938,0.98,0.51
200,1.4540832021087409,0.94,0.54
300,1.4436244018375874,0.97,0.52
400,1.4155244827270508,0.94,0.515
500,1.4123983864486218,0.95,0.455
600,1.4413553562760353,0.95,0.465
700,1.3710527481138706,0.96,0.495
800,1.3472237603366375,0.94,0.46
900,1.3540026675909758,0.94,0.43
1000,1.3649050053954124,0.94,0.445
1100,1.38541928216815,0.9,0.435
1200,1.4053483095020056,0.95,0.46
1300,1.4111276861280202,0.89,0.435
1400,1.360333155170083,0.89,0.54
1500,1.3773822795972228,0.89,0.515
1600,1.369502651244402,0.88,0.51
1700,1.3855186633393168,0.89,0.505
1800,1.3698184795305133,0.9,0.475
1900,1.3387868331745267,0.88,0.48
2000,1.2831679860875012,0.86,0.485
